0    Global influencer @SpirosMargaris thinks of #A...    107        28
1    RT @MSFTEnable: Read about how John Cronin, a ...      0        33
2    🍺 @ABInBev is brewing up techniques built with...     81        32
3    RT @MicrosoftJobs: ⚡️A lot of good things can ...      0        34
4    It’s official. @GitHub is now a part of the Mi...   2431      1135
5    .@thyssenkrupp_en's #HoloLinc uses mixed reali...    158        39
6    RT @MSFTEnable: Our CEO, @satyanadella is shar...      0        46
7    RT @judsonalthoff: Where and how do companies ...      0        23
8    RT @surface: Get inspired by the heart and hus...      0        33
9    RT @BradSmi: Trans people are an important par...      0       498
10   RT @fxshaw: Nadella: Our cloud platforms and t...      0        13
11   .@Nasdaq selected #Azure for its MarketSite st...    133        36
12   .@Buhler_Group partnered with Microsoft to cre...     89        21
13   .@CBRE, the world’s largest commercial real es...     16        15
14   Global energy giant @Shell is investing in Azu...     16         7
15   Our #cloud and #AI tech power digital transfor...    134        58
16      Full earnings release: https://t.co/wzTjR5CXDW    146        37
17   💻 Business Highlights: More Personal Computing...    325        99
18   🌩 Business Highlights: Intelligent Cloud 🌩\nSe...    126        46
19   🐝 Business Highlights: Productivity &amp; Busi...     96        35
20   Q1 FY19 revenue by segment\n  🐝 Productivity &...     93        30
21   Commercial cloud continues to grow and lift re...    101        40
22   $MSFT RECORD Q1 EARNINGS \n  Revenue: $29.1 bi...   1949       667
23   RT @alanlepo: .@Constellationr CEO @rwang0 dis...      0        16
24   RT @MSFTBusinessUK: Transform your #business w...      0        35
25   RT @harryshum: The @nytimes is speaking my lan...      0        39
26   Every child deserves to reach their potential....    213        77
27   RT @MSEurope: HoloLinc: @thyssenkrupp rolls ou...      0        72
28   RT @MSCloud: Learn how #AI offers new ways to ...      0        30
29   RT @MicrosoftJobs: Bringing Indigenous art and...      0        26
..                                                 ...    ...       ...
170  RT @OfficeNews: .@MicrosoftTeams is officially...      0       142
171  RECAP: Four highlights from #MSIgnite - our co...    193        75
172  So many #MSIgnite sessions, so little time 🏃 h...    284        50
173  .@Shell is using #AI to transform all dimensio...    707       232
174  RT @CNBC: Microsoft leapfrogs Amazon with a sp...      0        55
175  At #MSIgnite, our CEO @satyanadella highlighte...   1093       408
176  Today at #MSIgnite, we launched the Open Data ...    696       330
177  RT @CBSThisMorning: AI for Humanitarian Action...      0        31
178  @michaeldera @Adobe @SAP Thanks, @michaeldera....      3         0
179  @DOfaquarius @Adobe @SAP Thanks for letting us...      2         0
180  RT @CBSThisMorning: .@Microsoft is launching a...      0        76
181  RT @Microsoft365: Just announced at #MSIgnite:...      0       290
182  VIDEO: AI for Humanitarian Action is our new i...    321       172
183  RT @BradSmi: We have a responsibility to devel...      0       280
184  Thanks for joining us for our keynote coverage...    124        48
185  We're helping organizations use #AI to solve t...    152        76
186  Trust and security in action: We spotted a cyb...    105        68
187  Trust and security in action: We launched Acco...     94        42
188  We see 6.5 TRILLION security signals in our op...     99        39
189  Trust and security underlies all of our work w...   1207       202
190  Three underlying principles of the Open Data I...    227       160
191  Data is often relegated to silos. In order to ...     93        48
192  Our customers are building tech intensity in e...     95        58
193  Our solution areas fuel customer success in th...    175        97
194  Tech Intensity is a way to measure how well yo...     98        50
195  The world is becoming a computer. Every part o...     84        55
196  #MSIgnite brings together: \n💼 Business leader...     98        37
197   💥 #MSIgnite starts now 💥 https://t.co/TbBjVeMBjE   1051       349
198  Starting now: Microsoft CEO @SatyaNadella take...    234       117
199  Starting soon: Microsoft CEO @SatyaNadella wil...    198        80
