                                                Tweets  likes  retweets
0    I’m thrilled to welcome GitHub to Microsoft. T...   3259       757
1    This week I’m sharing how our Xbox Adaptive Co...    689       160
2    RT @judsonalthoff: .@AlyTay1 describes the int...      0        39
3    @YuanqingYang Thank you for having me, YY. Alw...    106         4
4    RT @panos_panay: Today you can buy Surface Pro...      0       127
5    Our progress and opportunity ahead https://t.c...    646       195
6    RT @Microsoft: Statement from Microsoft CEO Sa...      0      6858
7    We’re inspired to see how Microsoft 365 Learni...    754       169
8    Bringing the power of Azure, AI and Azure Sphe...   2227       425
9    Seeing AI is an example of how AI can transfor...    875       260
10   Announcing Project xCloud game-streaming, to p...   1729       473
11   RT @panos_panay: Everything we do, all the cho...      0       543
12   RT @MSFTChicago: The City of Chicago will be t...      0        96
13   RT @yusuf_i_mehdi: Today we shared our vision ...      0       166
14   Celebrating National Disability Employment Awa...    435       173
15   Paul, All of us at Microsoft are standing with...   1752       167
16   Nine billion MCU-based IoT devices ship each y...    471       145
17   Partnering with Volkswagen to accelerate their...   1125       285
18   RT @Microsoft: .@Chevron is improving their pe...      0       129
19   Announcing new AI and mixed reality business a...    882       304
20   Combining the power of Azure and Mastercard’s ...   1263       304
21   Otto Knoke, who lives with ALS, is pioneering ...   1122       345
22   BMW is transforming how people interact with t...   1999       650
23   RT @XboxWire: The first-of-its-kind #XboxAdapt...      0       103
24   A look at how we’re democratizing game develop...    774       207
25   RT @BradSmi: The people who work for us are cr...      0       260
26   RT @BradSmi: It’s clear that we all need to do...      0       412
27   RT @peteratmsr: Making health data interoperab...      0       174
28   RT @MSFT_Military: Enabling and enhancing the ...      0       194
29   Together with @JDASoftware and @GirishRishiJDA...    329       117
..                                                 ...    ...       ...
170  RT @jennylayfluffy: Meet the incredible talent...      0       233
171  RT @MSFTResearch: .@Microsoft &amp; @fbOpenSou...      0        92
172  Thanks for sharing your #HitRefresh story, Mel...   1019       216
173  Congratulations @harryshum on your induction t...    241        43
174  RT @MSFTnews: Microsoft Business AI tops the S...      0        39
175  RT @judsonalthoff: Excited to share that @Bank...      0        97
176  Congratulations Carol! Your work has inspired ...    247        52
177  The first spatial operating system spanning th...    537       223
178  @Willow_Bay @Microsoft Thanks very much, Willo...     23         1
179  My heart &amp; thoughts are with all the peopl...   2284       500
180  RT @ringer: Before he became the owner of the ...      0        89
181  Another incredible example of DNA data storage...    314       141
182  RT @tmyerson: Great read if you want to unders...      0        40
183  RT @chriscapossela: Ford Designers use HoloLen...      0        88
184  @CathyBessant @AmerBanker Congratulations @Cat...     17         0
185  @Steven_Ballmer @Microsoft Thanks very much St...    181         6
186  RT @BradSmi: An important step towards advanci...      0       361
187  #HitRefresh is out today, I hope it starts a m...   3125      1322
188  @BillGates Thank you Bill, not only for writin...    814        82
189  RT @geekwire: One year later, Microsoft AI and...      0       158
190  Great look at how our partner @Ford is envisio...    579       260
191  @PeteCarroll @Microsoft Thanks @PeteCarroll - ...    147        15
192  Our thoughts are with our employees &amp; all ...   1301       302
193  @bethcomstock Really looking forward to it, Beth!     41         2
194  RT @MSFTnews: .@DevonEnergy uses #Microsoft365...      0        29
195  Thank you @Steven_Ballmer for all you've done ...    637       109
196  RT @MSFTnews: Microsoft Azure becomes first cl...      0       109
197  RT @OfficeNews: Guest access in @MicrosoftTeam...      0       423
198  Welcome @createcultivate to @Microsoft – thril...    575       107
199  RT @OfficeNews: Microsoft and @Adobe expand th...      0       257

